Nivel,Concepto Presupuestario,Ley de Presupuestos,Requerimiento,_col_4,Saldo por Aplicar,_col_6,Compromiso,Saldo por Comprometer,Devengado,Saldo por Devengar,Efectivo,Deuda Flotante,Ruta_Jerarquica,Establecimiento,Fecha
5,221299900602 Colocación Embarazadas de Alto Riesgo,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999006 Colocación > 221299900602 Colocación Embarazadas de Alto Riesgo,1638002 Hospital de Osorno,enero 2024
5,221299900603 Colocación Adulto Mayor Riesgo,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999006 Colocación > 221299900603 Colocación Adulto Mayor Riesgo,1638002 Hospital de Osorno,enero 2024
4,2212999009 Convenios Dfl 36,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999009 Convenios Dfl 36,1638002 Hospital de Osorno,enero 2024
5,221299900901 Convenios Dfl 36 Centralizados,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999009 Convenios Dfl 36 > 221299900901 Convenios Dfl 36 Centralizados,1638002 Hospital de Osorno,enero 2024
5,221299900902 Convenios Dfl 36 Descentralizados,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999009 Convenios Dfl 36 > 221299900902 Convenios Dfl 36 Descentralizados,1638002 Hospital de Osorno,enero 2024
5,221299900903 Convenios DFL 36 Atencion Primaria Salud (APS),0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999009 Convenios Dfl 36 > 221299900903 Convenios DFL 36 Atencion Primaria Salud (APS),1638002 Hospital de Osorno,enero 2024
4,2212999010 Pasaje Y Traslados De Pacientes,0.0,150000000.0,,-150000000.0,,63666000.0,86334000.0,55818678.0,7847322.0,16458132.0,39360546.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999010 Pasaje Y Traslados De Pacientes,1638002 Hospital de Osorno,enero 2024
4,2212999011 Otros - Imprevistos,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999011 Otros - Imprevistos,1638002 Hospital de Osorno,enero 2024
4,2212999014 Otras Compras De Servicios Y Convenios,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999014 Otras Compras De Servicios Y Convenios,1638002 Hospital de Osorno,enero 2024
5,221299901401 Compra De Camas Al Extra Sistema Camas Criíticas,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999014 Otras Compras De Servicios Y Convenios > 221299901401 Compra De Camas Al Extra Sistema Camas Criíticas,1638002 Hospital de Osorno,enero 2024
5,221299901402 Compra De Camas Al Extra Sistema Camas No Críticas,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2212 Otros Gastos en Bienes y Servicios de Consumo > 2212999 Otros > 2212999014 Otras Compras De Servicios Y Convenios > 221299901402 Compra De Camas Al Extra Sistema Camas No Críticas,1638002 Hospital de Osorno,enero 2024
