ID Proyecto,OC Asociada PAC
1057922-4-PC22,1057922-32-SE22
1057922-4-PC22,1057922-20-SE22
1057922-4-PC22,1057922-69-SE22
1057922-4-PC22,1057922-73-SE22
1057922-4-PC22,1057922-59-SE22
1057922-4-PC22,1057922-94-SE22
1057922-4-PC22,1057532-973-AG22
1057922-4-PC22,1057922-33-SE22
1057532-4-PC22,1057532-775-SE22
1057532-5-PC22,1057532-1871-SE23
1057532-5-PC22,1057532-103-SE25
1057532-5-PC22,1057532-2166-SE23
1057532-5-PC22,1057532-1234-SE23
1057532-5-PC22,1057532-794-SE24
1057532-5-PC22,1057532-1011-SE24
1057532-5-PC22,1057532-1009-SE23
1057532-5-PC22,1057532-1696-SE23
1057532-5-PC22,1057532-868-SE23
1057532-5-PC22,1057532-492-SE23
1057532-5-PC22,1057532-68-SE24
1057532-5-PC22,1057532-1619-SE24
1057532-5-PC22,1057532-1423-SE23
1057532-5-PC22,1057532-671-SE23
1057532-5-PC22,1057532-374-SE24
1057532-5-PC22,1057532-2270-SE24
1057532-5-PC22,1057532-599-SE24
1057532-6-PC22,1057532-932-SE22
1057922-5-PC22,1057922-37-SE22
1057922-6-PC22,1057922-26-SE22
1057922-6-PC22,1057922-39-SE22
1057976-16-PC22,1057532-486-SE23
1057976-16-PC22,1057532-1392-SE22
1057976-16-PC22,1057532-1172-SE23
1057976-16-PC22,1057532-979-SE23
1057976-16-PC22,1057532-334-SE23
1057976-16-PC22,1057532-138-SE24
1057976-16-PC22,1057532-731-SE23
1057976-16-PC22,1057532-1409-SE23
1057976-16-PC22,1057532-2224-SE23
1057976-16-PC22,1057532-1410-SE23
1057976-16-PC22,1057532-165-SE23
1057976-16-PC22,1057532-951-SE23
1057532-19-PC22,1057532-422-AG23
1057532-19-PC22,1057532-1008-AG22
1057532-19-PC22,1057532-134-AG23
1057532-19-PC22,1057532-414-AG23
1057532-19-PC22,1057532-412-AG23
